Hebrew,Russian
בטרם,перед
ניצל,Сохраненный
ניתוחים,анализ
לאנשי,к
שמתאים,Приступы
כותרת,заглавие
מצחיקים,Смешной
מזמנך,Время
יאן,Ян
המשנה,Вице
הרגילה,обычный
כתובית,подзаголовок
המאהב,Любовник
נפצעת,Пострадавший
סנטימטר,сантиметр
לתשומת,Пожалуйста
ברגשות,Эмоции
מציאותי,приземленный
מטרת,Цель
תיסע,Идти
רובן,большинство из них
יציבות,стабильность
חשוף,голый
אמט,Эмметт
ששייך,Принадлежит
להליכה,Гулять пешком
הוירוס,Вирус
פסנתר,пианино
מרטיני,мартини
וכדאי,И должен
הרפובליקה,РЕСПУБЛИКА
כשעה,Около часа
יונה,голубь
אריות,Львов
רחל,Рейчел
שעד,Это
תרגיע,охладить его
ביס,Укус
כשג,В то время как они были
קנדה,Канада
עיסוי,Массаж
לבשה,Носил
לביתך,Главная
נקינס,Дженкинс
בידך,У тебя есть
נרים,Повышать
כותבים,Написать
סרג,саржа
החופים,Пляжи
צורות,Формы
יהפכו,Будет
רמאי,Cheater
פסיכי,псих
חסן,Hasan
נסו,Они бежали
רועש,шумный
מאף,Кто угодно
נעביר,Мы будем
פוצץ,взрывной
שתתקשר,Вызов
השתנית,спрайт
וק,рынок
בבן,Бен
מעוצבן,пугливый
בפעמון,колокол
משיגים,Получить
סיירה,горная цепь
התרשמתי,Я был впечатлен
בכוכב,звезда
חמלה,сострадание
גארת,Gareth
ציונים,множество
דעתם,умов
הכותרת,название
לעכל,дайджест
לחמש,рука
עוצרת,Остановки
גרון,горло
הבייסבול,Бейсбол
שהאישה,Женщина
האפשרית,потенциал
החינוך,образование
חרק,насекомое
שתצטרכי,Вам придется
קלאסית,классическая
אנקה,стон
התחתנו,замужем
הבלשים,Детективы
יעד,цель
פרפר,бабочка
ושלושה,И три
מהתיק,Мешок
רגליו,вверх
שוטים,Кнуты
בגיהנום,в аду
הפרסומות,Объявления
משי,шелк
המה,Хема
גברי,мужской
השיגו,достигнутый
מרוץ,бегать
עירוי,переливание
מכון,институт
אסתכל,я смотрю
הטילים,Ракеты
הכירה,признанное
שתמצאי,Ты находишь
ובמקרה,случай
ולשמור,И хранить
באטרס,Баттерс
המומחה,эксперт
הנוגע,Что касается
שפתיים,губы
נטש,заброшенный
השבב,чип
באולינג,боулинг
לימדת,Преподавал
לאוויר,Воздух
המבטא,Акцент
סצנה,Место действия
דוכן,стоять
שמדבר,переговоры
ציין,Отметил
דבורה,шмель
שבדיוק,Только
קוו,Quo
מגבות,Полотенца
תנחש,УГАДАЙ
נועז,отважный
החתן,конюх
לשלול,отказываться от
מלצר,официант
הנוהל,Процедура
צדדים,В третьих
גרועות,Плохой
תוקפים,Взломщики
נפילה,падать
חיכית,Ждал
לפצח,трещина
תשיר,Sing
ומאוד,И очень
בלבול,спутанность сознания
לרומא,Рим
איטליה,Италия
הנכונות,Готовность
להיאבק,Борьба
על,На
שניפגש,Встречаться
האיגוד,союз
יהודה,Иегуда
רוסית,русский
טלויזיה,телевизионная установка
יפיפייה,Прекрасный
שילך,Идти
משעממת,Бурильные
לצדי,Стороны
ושוע,Джошуа
טהורה,чистый
ראשה,Голова
בחודשים,В
מהעתיד,Будущее
מח,отдел
שותפות,партнерство
לאב,Отец
התקציב,бюджет
במצוקה,Горе
הללויה,аллилуйя
שוכחים,забывать
באגף,Крыло
תרגישו,Чувствовать
מתארת,Описывает
להחלים,оправляться
משמרות,Сдвиги
בוגרים,Взрослые
דיאז,острый
החזרתי,я вернулся
פנימית,внутренний
גש,подход
החנייה,Стоянка
הפדרלית,федеральный
מטווח,Тир
וויאט,Wyatt
לינט,Линетт
שנמצאת,Найденный
שעבדתי,я работал
שאנון,Shannon
שוקלת,принимая во внимание
נוחה,Легко
נטייה,тенденция
המעריצים,Поклонники
זעזוע,шок
האימא,Мама
דאלאס,Даллас
תקפוץ,Прыгать
יעצרו,арестованный
ציבורית,общественного
פתאומי,внезапно
נכסים,свойство
דודך,Дядя
יעלו,Поднимется
המכשפות,Ведьмы
תקוות,Надежды
באנג,бах
ריכוז,концентрация
האימון,Подготовка
זורקת,Броски
לסרוק,сканирование
אתחתן,Жениться
תרשום,Написать
הגירושים,Развод
שמלות,платья
עסקאות,операции
באירוע,Мероприятие
לשדר,транслировать
הריון,беременность
אפשריים,потенциал
מרחם,жалость
מתת,подарок
עימו,С ним
שלטון,правительство
בשמלה,Платье
מעמידה,Оферты
מרוויחים,зарабатывать
תכניסו,Вставить
אנ,Eng
מאגר,Акции
הממוצע,Среднее
למציאות,реальность
אייבי,плющ
התולעת,Червь
יסלח,прощать
ארגז,коробка
הכיוונים,Направления
חיילי,Солдаты
חותמת,печать
לשמר,сохранить
יקחו,принимать
כימיה,химия
לעיתונות,Выпуск
שהגיעו,Достигнута
התגלה,Показали
תשימי,Оплатить
שצריכה,Должен
קוריאה,Корея
והחברים,И друзья
המרפסת,Крыльцо
הדוק,плотно
מעיד,Свидетельствует
פקח,инспектор
בידיך,ваш
שאצא,я ухожу
לגביה,Об этом
מסוימות,Немного
דולי,Долли
הציבורי,Публика
מדממת,Кровотечение
הדרכון,Заграничный пасспорт
מתרומם,Встает
לייק,подобно
טיי,Tay
דחיפה,От себя
שמחכה,В магазине
שנתנו,Данный
הנתיב,Дорожка
היזהרו,берегись
שיראו,Увидеть
תדליק,ОЧЕРЕДЬ
חניבעל,Ганнибал
ירוקה,зеленый
התמוטטות,коллапс
שהעבודה,Работа
מרץ,марш
לקומה,Этаж
לחש,орфографии
ולאכול,И еда
השכר,заработная плата
רכה,Мягкий
שקיבלנו,Мы получили
לסוכן,агент
המדינות,страны
למחלקה,отдел
בצדק,правильно
פרל,жемчужный
תוכיח,Докажите это
תסתובבי,Повернись
נפלת,Fell
דויד,Дэвид
מגש,лоток
רוזוולט,Рузвельт
שלחנו,Мы отправили
ושמעתי,И услышал
יקנה,купить
מעצמו,Сам
הכתפיים,плечи
במשרדו,офис
להישבע,Клянусь
טונות,тонны
הסחר,Сделка
בטיול,в путешествии
אנשינו,Наши люди
באביב,Весной
הטמפרטורה,Температура
וחבר,И член
אלבש,Износ
לוטננט,Лейтенант
לפאניקה,Паника
בבעלות,Принадлежит
השקעה,инвестиции
מדרכי,пути
נסבל,терпимый
שעבד,За работой
מוסרית,моральный
אדוארדס,Эдвардс
בסתר,тайно
הדור,поколение
ראפ,Рэп
הנוסף,дополнительный
הפצעים,Поражения
להגשים,выполнять
לביצוע,выполнение
מרושעת,злобный
ישיבה,встреча
בגרמניה,Германия
כמוהם,Как они
שבין,От
ההצלה,спасание
ללקק,облизывание
ילדת,девушка
מגנה,Магна
איזון,Балансировка
בארנק,Бумажник
הישיבה,сессия
שדבר,Ничего
מילי,Милли
הכנה,подготовка
פדרו,Pedro
לבא,представитель
מטוגן,жареное
הרמתי,Я поднял
תשבור,Перерыв
קופסא,коробка
הסבא,Дедушка
שהשארתי,Я ушел
ענקיים,огромный
וודי,лесистый
גופנית,физический
לחדש,возобновлять
נשמתך,Ваша душа
יכולתם,способность
לקבוצת,группа
הגיהנום,Ад
תיקו,привлечь
החומרים,Ингредиенты
נותרה,Остался
הערפד,вампир
בשבט,Шват
מיזוג,Воздуха
למועצת,совет
ברוקס,Brooks
גיטרה,гитара
בצרפתית,Французский
מנטה,мята
פאולה,Паула
פרוייקט,проект
קבעתי,я сделал
בזכותך,Из-за тебя
המדויק,точная
זכתה,Выиграл
לחפות,обложка
ומוות,И смерть
החטיפה,похищение людей
חגורה,ремень
הקדמונים,древние
פיליפס,Philips
אלבום,альбом
ששאלתי,Я спросил
בקהל,Толпа
פסטיבל,фестиваль
רבי,Раввин
סגנית,заместитель
המזוודות,мешки
נשאל,На вопрос
ברנט,казарка
בסוכנות,Агентство
ההערכה,оценка
תסתיים,концы
הוי,килектор
רווקים,одиночный разряд
נזמין,приглашение
המרק,суп
שתביא,приносить
ההאשמות,расходы
צועקים,окрик
המרפאה,Клиника
אליהן,Их
הגיבוי,Резервный
העלאה,повышение
סניור,Старший
העמדת,Обеспечение
תזכירי,напоминать
מורים,Учителя
תצפה,ожидать
גרר,тянуть
פיטרו,Уволен
בכיתי,Плакала
מאורה,логово
בקסטר,Baxter
עצמאית,независимый
אסכים,Я согласен
קרבן,потерпевший
חברתו,любимая девушка
שבדקתי,Я проверил
תחתוך,Резать
התחתנת,Ты женился
נבל,арфа
ציפיות,ожидания
תגלי,Не говори
הרסו,Разрушенные
פלפל,перец
פט,похлопывание
מחסור,отсутствие
שהתחלנו,Мы начали
מבזבזת,Трата
ישפיע,аффект
חשיפה,воздействие
שכחי,забывать
הכלכלה,экономика
גיי,гей
לאגם,Озеро
מרילין,Мэрилин
לימדו,Учить
ממול,напротив
מהבחורים,мальчиков
הנדל,Handel
מנגנת,Пьесы
שמיים,Небо
בקהילה,сообщество
המלכות,царствование
לנסח,формулировать
הרקולס,Геркулес
הראשים,Головы
הדסון,Гудзон
לחור,пылать
סקרנות,любопытство
הוזה,мечтатель
הייז,Hayes
רשומה,запись
פילדלפיה,Филадельфия
צועקת,Крики
תכנסי,Заходи
קנאה,ревность
הטבעי,Естественный
הציונים,множество
קסנדרה,Cassandra
לעיירה,Городок
באג,ошибка
תמכור,Продам
יפני,Японский
סגר,пожатие
אלוהי,Бог
ישתמש,Пользы
וואן,Ван
גאווין,Gavin
שהצלחת,Успех
לגרש,высылать
קיום,существование
הצרפתים,Французский
מלהיב,будить
שקיים,Там
יכולתך,способность
אתקן,Fix
לוחות,таблетки
חגיגה,праздник
זמזום,гул
הטבח,бойня
מחילה,прощение
מצייר,Краски
הוותיק,Старейший
מדם,Кровь
בחורף,зима
שטיח,плед
הסיוט,Кошмар
הפדרלי,федеральный
גומר,Гомерь
מא,мама
התיקון,поправка
השתמשנו,Мы использовали
משתוקק,тоскует
יכלתי,Я мог бы
הפגיעה,"Травма, повреждение"
אבחר,я выбираю
נייג,Найджел
האויר,Воздуха
חנייה,Стоянка
ששת,Шесть
באוגוסט,августейший
לכאב,боль
הטעויות,Ошибки
לממשלה,Правительство
וולי,бестолочь
להיפתח,Открыто
בקריירה,Карьера
בכי,плач
ברנדן,Brendan
הבכורה,дебют
קיבלתם,Получено
לסיפון,колода
עבירות,преступлений
נגעת,Вы затронули
פרקים,Главы
מנחשת,Гадать
שכתבת,Вы написали
ובוהו,Хаос
מהארון,Стенной шкаф
הבכור,первенец
בעצמכם,Себя
המחמד,Pet
מומחים,эксперты
החתיכה,Кусок
תעקוב,следить
מרגו,Margo
כבש,ягненок
חוליו,Julio
פחדת,Вы боялись
b,б
לכפות,сила
עידוד,ободрение
דמיין,Представить
ברונו,Bruno
חלשים,слабый
שורד,Сохранятся
ולפי,А под
ושאתה,И вы
בכוננות,бдительный
שרף,смола
תערובת,смесь
להציב,место
בפחד,Страх
חות,Отчеты
נשך,ростовщичество
קראי,Читать
שנא,ненавистный
המצח,Лоб
בידיי,Мои руки
בשקית,Мешок
מחליפים,обмен
מהבחור,парень
צרכים,потребности
כשהן,Когда они
טירה,замок
קליין,Клайн
הכישורים,Навыки
נסעו,Путешествовал
זורחת,сияет
הועבר,Перевезу
אומה,нация
נחמדות,остроумие
קבצים,файлы
להשתלב,интегрировать
נקראים,называются
תגמור,Законченный
זמנו,Время
כסא,стул
נקיות,чистый
ותיקים,ветеран
נלחמתי,я воевал
לתוכו,В
אסף,Асаф
בהמתנה,В ожидании
הפרשים,дифференциал
מעשנת,копчение
באם,Если
אעריך,Была бы благодарна
בספרייה,в библиотеке
שרירי,мускулистый
ארמון,дворец
הזריחה,Восход
הכף,Ложка
תקציב,бюджет
ולהפוך,И сделать
הדעה,Посмотреть
הטריק,выходка
האחיינית,Племянница
קאתי,Cathy
קלטות,ленты
מתייחסת,Угощения
הפלילי,Уголовное
יעזבו,Уехать
פחם,уголь
up,вверх
ואילו,И
עלובה,Ламе
במקרים,случаи
שגויה,неправильно
ארורים,Кровавый
החוקר,следователь
אההה,Аааа
תוודאי,Удостовериться
תיבות,Ящики
יפסיקו,Стоп
הפעמון,колокол
תורגמה,в переводе на
אידי,Иди
חטפתי,я получил
האמצעי,Мера
העשן,Дым
בהרים,Горы
השביעי,Седьмой
רופוס,Руфус
יצירתי,творческий
כתבי,Рукописи
שהתחלת,Ты начал
למענו,ради него
מרשי,Мой клиент
הלילות,ночью
שבעים,семьдесят
דרכון,заграничный пасспорт
ואעשה,И делай
מונד,Mond
שאישה,Женщина
ארט,Искусство
ציורים,рисунки
מילא,Кто не
התלבושת,Снаряжение
הספסל,Скамья
תטרח,докучать
בלהקה,Группа
הארוכה,Длинная
ניוטון,Ньютон
לאוטו,эфирное масло
do,делать
הפסיד,Потерял
ממשפחת,семья
סקרלט,Scarlett
אחזיק,Держать
להירשם,Зарегистрироваться
המתחם,соединение
חסוי,привилегированный
נפגעו,Затронутые
בקבוקים,Бутылки
נטשה,Наташа
שלפחות,По крайней мере
צילמתי,я взял
עופי,Fly
האקדחים,Оружие
קתרינה,Екатерина
כוויות,Ожоги
להחמיץ,скучать
הרגנו,убитый
בטקסס,Техас
חשפנות,стриптиз
פעולת,акт
ניקיתי,Я очистил
נושמת,дышащий
שקוע,погруженный
שובב,непослушный
נחפש,Искать
קיד,Kidd
תשעים,девяносто
ישאל,просит
לייל,Lyle
מביטה,Видать
סירת,крейсер
הסתיימו,Закончилось
ראול,Raul
משק,площадь фермы
כששמעתי,Слуховой
לשמצה,общеизвестно
והולך,Отправившись
מהבניין,Строительство
טראוויס,Travis
הרגעים,Моменты
שכה,Так
המטבע,валюта
פוגעת,ослабляет
יאמן,невероятно
ליגת,лига
עמוקים,глубоко
בפחות,менее
פעילה,активный
יעלם,пропадать
דוא,Эл. почта
סיימו,Законченный
דבורים,Пчелы
ציר,ось
הנס,Hans
שוט,кнут
בחום,Высокая температура
שנותרו,остальной
עמודים,страницы
האמנם,это так
מעבירה,переводы
שבורות,Сломанный
תקן,стандарт
מנכ,Директор компании
מתחבר,соединений
למדו,Учить
מסודרת,организованная
קתי,Cathy
סכינים,Ножи
נוראים,Трепет
עליונה,выше
בחיינו,Наши жизни
קאלי,камбуз
ספורים,Несколько
החזקת,удержание
מזוודה,Портфель
מכובדת,респектабельный
לקפטן,капитан
ידידות,дружба
ניצולים,Выжившие
קשורות,Связанный
זריקת,бросание
לזירה,арена
כימי,химическая
האומנם,В самом деле
לייצג,представлять
יעקב,Иаков
מצחוק,Смеющийся
לוחש,Шепот
בקש,Запрос
מהמדינה,Страна
בניינים,здания
המהירה,Самый быстрый
שהכסף,Деньги
רבנו,Alter
המרתף,подвал
והבנתי,"И понял,"
קרופורד,Кроуфорд
סוודר,свитер
לסירה,Лодка
הבהלת,Запуганные
שייקח,принимать
הפגישות,Встречи
מלכי,Мой король
נואשים,отчаянный
מציאה,сделка
ברשות,Пенсильвания
נכשלתי,Не удалось
חוטים,Провода
שמוטב,Лучше
דובי,нести
ואותי,И я
וניל,ваниль
נסן,Винсенс
נעולים,разблокирована
עצלן,ленивый
סונג,певший
מילוי,начинка
אקפוץ,Прыгать
בינואר,январь
להתחרט,сожалеем
נרקוד,Nirkod
מלמדים,Шоу
הראוי,достойный
ממשטרת,Полиция
פסיכולוגית,Психолог
הסוללה,аккумулятор
העכבר,мышь
פרוצה,девушка легкого поведения
אריזונה,Аризона
תספורת,стрижка волос
נקניק,колбаса
דמו,Кровь
משחשבתי,я думал
עופו,Fly
הרפתקה,приключение
בניית,Строительство
שברה,Сломался
מלכים,Kings
האגרוף,кулак
יזוז,Ходы
רחוקות,отдаленный
מחבט,ракетка
שהסכמת,Соглашаясь
שמלת,Платье
במוות,Смерть
ממוקד,сосредоточены
ב,В
הרווחה,благоденствие
הגלידה,мороженое
לנושא,тема
יבשה,сухая земля
העתיק,древний
התחתן,замужем
כשאין,Когда нет
הארמון,Дворец
לצדך,Твоя сторона
אזיקים,наручники
לשותף,партнер
בארב,бородка
טרף,добыча
שכונה,окрестности
הקווים,Линии
נורמליים,Нормальный
לכוס,кружка
נפתור,Решить
בגינה,Сад
להתעדכן,Ловить
ב,В
טיפות,капли
הפסדנו,Потерял
פרופ,Профессор
האויבים,враги
הכושי,негр
תלמדי,Учить
לפקח,контролировать
שכנע,убежден
אנהג,Водить
תבנית,шаблон
הווידאו,видео
וגה,Вега
שהזמן,Время
הופר,бондарь
מגישים,обслуживать
ציטוט,цитата
שגרה,рутинный
נוגעת,Обеспокоенность
פתחת,открытый
תיירים,туристы
נולאן,Нолан
במנהטן,Манхеттен
הגובה,Рост
שישנה,Там
אוטומטית,Автоматически
מחליפה,Заменяет
קרלי,Мне холодно
המס,налог
מקומך,Место
תתחתן,Жениться
לדרוש,потребность
חקר,исследование
העדר,отсутствие
סיאטל,Сиэтл
הסוכר,сахар
ההלוויה,похоронный
התעמלות,упражнение
בתחתונים,нижнее белье
נחנק,Задыхаясь
ברון,барон
למוזיקה,Музыка
רצונו,Желания
הבחינה,Экзамен
תזיק,Причинить боль
ששלחתי,Я отправил
ההגירה,иммиграция
צעק,Кричал
אחווה,братство
ואח,Et
ותראו,И увидеть
העוצמה,Мощность
שוחה,яма
חומה,коричневый
להבדיל,в отличие
לשלי,изобилующий раковинами
הדמעות,Слезы
הלוחמים,Воины
שירו,выстрел
התרגיל,Дрель
שאינה,Это не
נפגשתי,я встретил
קולטים,Коллекторы
הזמינו,Книга
להפר,нарушать
קליעים,Пули
הוריך,Родители
צמיד,браслет
תמסרי,Дать
מריבה,Борьба
בבוא,В конце концов
הודי,индийский
המסורת,традиция
תשתקו,Заткнись
מאורגן,организованная
נשמתו,Его душа
הפעלה,активация
ולהמשיך,И по-прежнему
היצירה,Творчество
קיבינימט,Ад
נסיעות,Путешествовать
רודפת,гонит
הפינה,краеугольный камень
שגיליתי,Я обнаружил
מהקבוצה,группа
בחדרי,В
ההוראה,обучение
המעיים,кишечник
קטנטן,крошечный
אספירין,аспирин
תחתית,дно
סטודנטית,Студент
משרתים,порция
החזיקי,Держать
תשני,Спи сладко
אופה,пекарь
תחביב,хобби
התרסק,разбившийся
חלקנו,Некоторые из нас
שתים,два
יצרה,созданный
לקולנוע,фильм
מתביישת,Застенчивый
פיטרסון,Петерсон
השערים,ворота
מעצמי,Себя
והדרך,И путь
למרתף,цокольный этаж
העמידה,податливость
מהתיכון,Средняя школа
מתכוננים,Подготовка
בישבן,трепка
להקדיש,Оплатить
פרנואיד,параноик
הרוסית,русский
תיארתי,Я описал
מיצ,Mitchell
טרגי,трагический
מימון,финансирование
ובכך,и поэтому
אצילי,благородный
בהופעה,Шоу
רובוטים,Роботы
ואשתו,И его жена
נושף,Выдыхая
המכונות,Машины
בכאב,боль
פסולת,мусор
וידוי,исповедь
עסקית,Бизнес
האק,мотыга
מותי,Смерть
נוצרי,Кристиан
בירח,Луна
נוקס,Нокс
הגנב,вор
מאיזו,Немного
כס,трон
תפגשי,Встреча
פצעי,Раны
להיפך,Наоборот
הה,ха
מפקדת,Штаб-квартира
שנשארו,Остался
הקסדה,Шлем
להתייצב,Встаньте
והבן,И сын
המצפון,совесть
כוללת,Включает в себя
נורת,к северу
בסה,Баса
שוהה,настоящее время
רצחתי,убитый
אלרגית,аллергический
כבן,Около
ציפורניים,Гвозди
הפושעים,жулье
ברגליים,Ноги
וקח,принимать
לחזק,укреплять
צבוע,гиена
זכאי,право
איריס,Ирис
ייני,винный
לבכם,Сердце
הסכמה,соглашение
רועד,сотрясение
אחמד,Ahmad
ללקוחות,Клиенты
כלפיו,Для него
הרמה,лифтинг
פגום,дефектный
מתפטר,подал в отставку
החייאה,реанимирование
שורש,корень
טייט,Tate
בוטה,ужасно
גירושין,развод
הלוך,вверх
היכולות,возможности
מגיל,Возраст
לשידור,вещания
הסינים,Китайский
שאיזה,Немного
מכבדים,кредит
בגשם,дождь
במתמטיקה,Математика
אשליה,иллюзия
שבן,Шабан
ביצעת,Ты сделал
ממחלקת,отдел
ושנינו,И мы
מואשם,обвиняемый
ללוחמה,счетчик
החזקתי,я держал
האמיני,верить
הצטרפו,Присоединиться
תגיעו,Вы будете
תעברי,Вы двигаетесь
השוקולד,Шоколад
רמון,Рамон
מעצב,дизайнер
דארן,Даррен
חירות,свобода
סל,корзина
מוסמך,проверенный
לותר,Лютер
עוץ,OZ
שילד,Шильд
נאמנים,Попечители
לכלוא,сажать в тюрьму
במגירה,Выдвижной ящик
לסוג,тип
פיקניק,пикник
שבמקרה,случай
הסתובבתי,Я повернулся
פרווה,мех
במבצע,операция
תלבושת,снаряжение
קבוצתי,коллектив
פעימות,Удары
מייצרים,Производить
ואיני,И я
שודדים,Бандиты
המקצוע,профессия
בארמון,Дворец
לחנוק,задушить
פצועים,раненый
רונלד,Рональд
שהלך,Гулять пешком
הנאצים,нацисты
המגזין,журнал
עצב,печаль
תבכה,Крик
מוזמנת,приглашенный
וכפי,И в качестве
החילוץ,экстракция
קליבלנד,Кливленд
בליין,Blaine
פרסטון,Престон
לנכון,Поместиться
חבילות,пакеты
החורגת,Мачеха
שהבת,Дочь
סטרלינג,стерлинг
דגימה,отбор проб
בתקשורת,связь
לכ,к
לאס,Las
התחמושת,амуниция
תקפה,действительный
קוב,Кобб
ילדותי,детский
שתצליח,Преуспеть
כריות,Cushions
נולן,Нолан
מולו,Перед ним
לשבט,клон
כהלכה,должным образом
גווע,умирающий
לענייני,дела
בכיף,Весело
פרוטוקול,протокол
ראשוני,первый
תשגיח,Береги себя
תסתלקו,Убирайся
היזהרי,берегись
ורוצה,И хочу
שכזו,Такой
הבכיר,Старшая
שאיבדנו,Потерял
אסירי,Заключенные
לדלג,пропускать
חטיפים,закуски
מתגורר,проживающих
יילס,Уэльс
האישומים,расходы
be,быть
חפשו,Поиск
ובאמת,Действительно
הממונה,Руководитель
גמרת,Законченный
בדצמבר,Декабрь
סידור,заказ
שטיפת,Мойка
נועל,носит
ההעברה,Перевод
לסביות,Лесбиянки
ושהיא,И она
יסיים,Концы
מרד,восстание
לאחוז,держать
עניתי,Ответ
מהשולחן,Таблица
מהרגיל,Чем обычно
הקסמים,магия
יכולתנו,наш
העבירה,проступок
בקלטת,Лента
להתחלה,Запускать
תקדים,прецедент
סטואי,стоик
לזכר,В памяти
הסם,"Препарат, средство, медикамент"
היהודי,иудейский
לאדון,повелитель
המפרץ,залив
חברתך,Ваш друг
תעמדו,стенд
גבך,Твоя спина
נובל,Novell
מכתבי,Письма
רול,Рулон
המזדיינים,Fuckers
יועיל,Выгода
תשיגו,Получить
עפה,Fly
ספה,диван
הציפורניים,Гвозди
אייל,Эяль
גרזן,секира
ספרינגפילד,Springfield
מסויימים,Немного
חתמתי,подписанный
בחיל,корпус
מוטעה,неправильно
דובים,Медведи
למחסן,кладезь
חל,Применять
לדקור,удар ножом
הילארי,Hillary
וול,стена
קולסון,Колсон
עקבת,отстой
מגיבים,реагировать
אופייני,типичный
בנשים,женщины
תצחק,Смеяться
בטחתי,я доверял
סגירת,закрытие
צעקה,Yell
אלווין,Эльвин
היסוד,Фонд
תלבשי,Износ
האבק,Пыль
הוציאה,Выпущенный
הלקוחה,Покупатель
ואמרו,И сказал
לחברות,Компании
התפוצצה,взорванный
ורדים,Розы
רישוי,Лицензирование
פזיז,поспешный
שאחרים,другие
הודיעו,Уведомлять
אותות,сигналы
להדאיג,беспокойство
יילך,Пойдет
ביחידה,Единица измерения
שיפור,улучшение
לחטט,подглядывать
תפקידים,позиции
הנוכחית,ток
שתרגיש,Ты чувствуешь
יומי,повседневная
תפסיד,Похудеть
באליפות,Чемпионат
טנדר,фургон
קרות,Вхождение
אדמת,краснуха
האלימות,насилие
ריגול,Шпионаж
צדפות,устрицы
קצוות,концы
שתכיר,Признать
הפעיל,активный
טואלט,туалет
המשוגעים,буйство
שמנים,масла
שבהן,Который
הפשעים,преступления
תנועת,движение
גרדנר,Гарднер
כגון,такие как
שפל,отлив
איזבלה,Изабелла
מביה,Mbia
בינוני,Средняя
טאשה,Tasha
מהלב,Сердце
וחזק,И сильный
אוהיו,Огайо
ומנסה,И пытается
כלפיה,Ее
זרועות,оружие
שנרצה,Мы хотим
מזירת,арена
רוחני,духовный
העצמית,Своя
מנוסה,опытный
טיפוסי,типичный
פאקינג,чертов
האמנת,"Вы считали,"
יקום,вселенная
אובססיה,Одержимость
בתחילה,Первоначально
הנסון,Henson
בגדתי,Я смухлевал
עומדות,Находятся
גמילה,отнятие ребенка от груди
הכסא,сиденье
שבית,Это
הפנס,Фонарик
משקיע,инвестор
לאנגליה,Англия
שיעשו,Делать
שמעניין,интересы
חצר,Двор
למבחן,Тестовое задание
כחבר,член
רכיבה,верховая езда
הראיתי,Я показал
מאשימים,обвиняемый
הטבעות,Кольца
המבוגרים,Взрослые
המוביל,ведущий
טכני,технический
אוטיס,Otis
קהילה,сообщество
can,мочь
ורי,Rie
המנוחה,умерший
הפריע,докучать
בעיניה,Глаза
פיות,Феи
מקסימום,максимальная
מסיימים,Законченный
ספרטקוס,Спартак
למתוח,протяжение
להפיק,производить
האסטרטגיה,стратегия
משתדל,Пытаться
חדה,Остро
הממתקים,Сладости
הסופה,шторм
המטורפת,Псих
have,имеют
לתפור,шить
ישאיר,Уехать
שחיים,Прямой эфир
לתחייה,Воскресший
ווילו,ива
ללקוח,Покупатель
האקסית,бывший
מחק,Удалить
אגנס,Агнесса
הריגה,убийство
קולבי,Colby
דרקונים,Драконы
הרובוט,робот
כישורי,Навыки
סינתיה,Синтия
השרת,SERVER
צלול,Чисто
הצרפתית,Французский
התפתחות,развитие
דקס,Dex
בסולם,По шкале
מהסרט,Кино
בשבי,в неволе
בעמק,Долина
יורי,Юрий
בפניה,Ее
ה,Бог
נסגרת,Закрывает
ההתנגדות,оппозиция
גדר,забор
מגרד,зудящий
בכיכר,Квадрат
המסמך,Документ
הישיבות,зал заседаний совета директоров
המוסך,гараж
.,","
נזכר,Отзывы
העמוד,верхний
למילה,Слово
הלקח,Урок
בקבוקי,Флаконы
לשהות,оставаться
בזריזות,Быстро
להתפרץ,ERUPT
המורשת,наследие
מכורה,наркоман
התחייבות,обязательство
נכין,Подготовить
המזורגגת,чертов
דלוקה,давка
המטופשת,дурацкий
שגנבת,Ты украл
פגם,дефект
המתכת,металла
בועט,Ударь
האריה,Лев
הקזינו,Казино
המגדל,башня
שרצינו,Мы хотели
וכרגע,И сейчас
כללית,Общее
השופטים,судьи
מחזירה,Возвращает
משעממים,Тупой
הזירה,арена
מתעלם,забывающий
פאט,похлопывание
ריר,слизь
תרחיק,Отчуждать
היפנים,Японский
חלה,относится
השף,шеф-повар
פריטים,Предметы
פיכח,трезвый
הורי,Родители
רובינסון,Робинсон
הפריצה,Разразиться
סטיילס,Stiles
נוהל,процедура
הגבולות,Границы
חנק,удушение
שליש,третий
שחק,Играть в
לדיון,Слуховой
חופשיה,Свободный
יגדל,расти
סופסוף,в заключение
ספרד,Испания
לפרטים,Для
ב,В
מכוונת,Направленный
ושלי,И мой
באחריות,Обязанность
שחקני,игроки
טובאק,Тобэк
הזרועות,Оружие
ישתפר,улучшать
סברינה,Sabrina
וכשזה,И когда
תתבייש,срам
שכיר,Наемный рабочий
הרוצחים,убийцы
הצחוק,Смех
דקירה,удар ножом
מינוס,минус
אדומות,красный
סנצ,CENTURY
בסוג,вид
ומעבר,И дальше
תיפטר,Избавляться от
להוט,нетерпеливый
תביטי,Смотреть
בינלאומי,Международный
שאצליח,Я могу
בכוס,Стекло
התחפושת,Костюм
ההיגיון,логика
נפרדו,отделенный
לשגר,запуск
רטובה,Мокрый
נשי,женский
ירוקים,зеленый
נזיר,монах
ממקור,От
להתאמץ,прилагать усилия
הערבות,гарантия
התוקף,атакующий
הקצר,короткий
שתחשבי,Вы думаете
צפית,наволочка
סמכי,Доверять
הנכסים,Активы
אומללה,несчастливый
אנוכית,эгоистичный
